French,English
partie,part
chercher,search
seulement,only
police,police
aide,help
demande,request
genre,kind
mois,month
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
devrait,should
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
savais,knew
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
main,hand
première,first
côté,side
pouvoir,power
vieux,old
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
suite,after
pardon,sorry
venez,come
demandé,request
chambre,bedroom
mis,placed
droit,law
aujourd'hui,today
mari,husband
enfin,finally
eau,water
attendez,Wait
parti,left
boulot,job
dirait,would say
compte,account
donne,given
fin,end
croire,believe
chérie,sweetheart
gros,large
aura,will have
filles,girls
bureau,office
